Armas_Medios,Departamento,Municipio,Fecha_Hecho,Genero,Edad_Persona,Codigo_Dane,Delitos,Mes,Cantidad,Trimestre,Dia_Semana,Año,Categoria_Delito
Arma De Fuego,Cundinamarca,Madrid,2026-01-07,Masculino,Adultos,25430,Artículo 103. Homicidio,1,1,1,2,2026,Homicidio
Arma De Fuego,Cundinamarca,Mosquera,2026-01-07,Masculino,Adultos,25473,Artículo 103. Homicidio,1,1,1,2,2026,Homicidio
Arma De Fuego,Cundinamarca,Mosquera,2026-01-08,Masculino,Adultos,25473,Artículo 103. Homicidio,1,1,1,3,2026,Homicidio
Arma De Fuego,Cundinamarca,Funza,2026-01-10,Masculino,Adultos,25286,Artículo 103. Homicidio,1,1,1,5,2026,Homicidio
Arma Blanca / Cortopunzante,Cundinamarca,Funza,2026-01-24,Femenino,Adultos,25286,Artículo 103. Homicidio,1,1,1,5,2026,Homicidio
Arma De Fuego,Cundinamarca,Mosquera,2026-01-24,Masculino,Adultos,25473,Artículo 103. Homicidio,1,1,1,5,2026,Homicidio
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-01-27,Masculino,Adultos,25473,Artículo 103. Homicidio,1,1,1,1,2026,Homicidio
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-02-14,Masculino,Adultos,25473,Artículo 103. Homicidio,2,1,1,5,2026,Homicidio
Contundentes,Cundinamarca,Madrid,2026-02-15,Masculino,Adultos,25430,Artículo 103. Homicidio,2,1,1,6,2026,Homicidio
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-02-15,Masculino,Adultos,25430,Artículo 103. Homicidio,2,1,1,6,2026,Homicidio
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-02-28,Masculino,Adultos,25430,Artículo 103. Homicidio,2,1,1,5,2026,Homicidio
Arma De Fuego,Cundinamarca,Mosquera,2026-03-01,Masculino,Adultos,25473,Artículo 103. Homicidio,3,1,1,6,2026,Homicidio
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-21,Masculino,Adultos,25473,Artículo 103. Homicidio,3,1,1,5,2026,Homicidio
Arma Blanca / Cortopunzante,Cundinamarca,Mosquera,2026-03-22,Masculino,Adultos,25473,Artículo 103. Homicidio,3,1,1,6,2026,Homicidio
Arma De Fuego,Cundinamarca,Mosquera,2026-03-22,Masculino,Adultos,25473,Artículo 103. Homicidio,3,1,1,6,2026,Homicidio
Arma De Fuego,Cundinamarca,Mosquera,2026-03-29,Masculino,Adultos,25473,Artículo 103. Homicidio,3,1,1,6,2026,Homicidio
Arma De Fuego,Cundinamarca,Mosquera,2026-03-30,Masculino,Adultos,25473,Artículo 103. Homicidio,3,1,1,0,2026,Homicidio
Arma Blanca / Cortopunzante,Cundinamarca,Madrid,2026-03-29,Masculino,Adolescentes,25430,Artículo 103. Homicidio,3,1,1,6,2026,Homicidio
Sin Empleo De Armas,Cundinamarca,Mosquera,2026-03-29,Masculino,Adultos,25473,Artículo 239. Hurto Personas,3,1,1,6,2026,Hurto Personas
