Armas_Medios;Departamento;Municipio;Fecha_Hecho;Genero;Edad_Persona;Codigo_Dane;Delitos;Mes;Cantidad
Arma De Fuego;Cundinamarca;Madrid;7/01/2026;Masculino;Adultos;25430;Artículo 103. Homicidio;1;1
Arma De Fuego;Cundinamarca;Mosquera;7/01/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;1;1
Arma De Fuego;Cundinamarca;Mosquera;8/01/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;1;1
Arma De Fuego;Cundinamarca;Funza;10/01/2026;Masculino;Adultos;25286;Artículo 103. Homicidio;1;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;24/01/2026;Femenino;Adultos;25286;Artículo 103. Homicidio;1;1
Arma De Fuego;Cundinamarca;Mosquera;24/01/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;1;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;27/01/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;1;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;14/02/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;2;1
Contundentes;Cundinamarca;Madrid;15/02/2026;Masculino;Adultos;25430;Artículo 103. Homicidio;2;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;15/02/2026;Masculino;Adultos;25430;Artículo 103. Homicidio;2;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;28/02/2026;Masculino;Adultos;25430;Artículo 103. Homicidio;2;1
Arma De Fuego;Cundinamarca;Mosquera;1/03/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;3;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;21/03/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;3;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;22/03/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;3;1
Arma De Fuego;Cundinamarca;Mosquera;22/03/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;3;1
Arma De Fuego;Cundinamarca;Mosquera;29/03/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;3;1
Arma De Fuego;Cundinamarca;Mosquera;30/03/2026;Masculino;Adultos;25473;Artículo 103. Homicidio;3;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;29/03/2026;Masculino;Adolescentes;25430;Artículo 103. Homicidio;3;1
Sin Empleo De Armas;Cundinamarca;Mosquera;29/03/2026;Masculino;Adultos;25473;Artículo 239. Hurto Personas;3;1
No Reportado;Cundinamarca;Mosquera;25/03/2026;Masculino;Adultos;25473;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Madrid;31/03/2026;Masculino;Adultos;25430;Artículo 239. Hurto Personas;3;1
Arma De Fuego;Cundinamarca;Madrid;6/03/2026;Masculino;Adultos;25430;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Mosquera;31/03/2026;Masculino;Adultos;25473;Artículo 239. Hurto Personas;3;1
Arma De Fuego;Cundinamarca;Madrid;27/03/2026;Masculino;Adultos;25430;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Madrid;15/03/2026;Masculino;Adultos;25430;Artículo 239. Hurto Personas;3;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;31/03/2026;Masculino;Adultos;25430;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Madrid;31/03/2026;Femenino;Adultos;25430;Artículo 239. Hurto Personas;3;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;30/03/2026;Femenino;Adultos;25473;Artículo 239. Hurto Personas;3;1
